Corn meal cakes.,pones
___ ghanouj (Middle Eastern salad) ,baba
Mineral hardness scale inventor Friedrich,mohs
Certain scholarly person,bibliographer
"Consternation, discouragement",dismay
"Battle site: Nov. 25, 1863",missionary ridge
inlaw,niece
Line that GM is phasing out,olds
Secreting internally.,endocrine
Wheel shaft.,axle
Georgia-Florida lake,Seminole
Net receipt,email
Gripe on and on,NAG
Damper yield now and then ___ it's a time for showers,April
Avid,at hirst
Caught in a misdeed,detected
"With 43-Across, fraternal order",the
Wrap ones brain around,grasp
Reed section,marsh
"Electrical or mechanical unit in gas line (4,4)",fuel pump
Feline saying,me w
Starts operations,opens
Part of one's net worth,asset
Spectres,reinspects
See blurb (nonverbal),same
Cinema's Anouk,aimee
Ancient sun god. ,a mon
Volcano feature,rim
It's in South Africa,Lesotho
Relative of the jitney. ,cab
"""Suzanne"" songwriter",cohen
"Armstrong's ""___ Jimmy Valentine"" ",Ali as
"Oozma ___ (""Monsters University"" frat)",kappa
"""___ My Line?"" ",what s
"Chunk, in Chelsea ",wodge
Slight depression (in the skin),dimple
Word with eight or fast,ball
Traveller in London's Tube,brit
Crop,trim
Burning fragrance,incense
"The Knicks play there, for short",msg
It preceds la vie or la guerre,cest
Candy.,sweets
Herring's kin,Alewife
___ are born great . . . : Shakespeare,some
Future tales,Scifi
___ of Avon (Shakespeare),bard
Untrustworthy ones,snakes
"Grandly decree no raid, perhaps",ordain
Tin star wearer,lawman
"Like many proverbs, for short",an on
Polaroid competitor,Kodak
Hayworth of films,Rita
Zonked,asleep
Art Deco's other name,moderne
Erstwhile boarder in Baker Street. ,Watson
Parabola shapes,arcs
Rockwell and others. ,kents
"""Not to mention ...""",also
Treasure or Long,is land
Like gambling in Nevada,legalized
Remote,far off
Prominently present,as large as life
Secretary John W. and family.,snyders
Ward Cleaver's suggestion (wordplay),leave it to beaver
Comes forth. ,emanates
Part of S.P.C.A. Abbreviation ,soc
Vessel that hunts fur animals.,sealer
"This Is Your Brain on Drugs spot, for example",psa
A German pacifist securing hearts going to Northern Dutch city,eindhoven
___ Rose. ,Margaret
Pertaining to blood fluid,serous
Wilder on screen,gene
Measuring instrument for farm machinery,protractor
Old TV host Edwards,Ralph
The Absent Minded Professor actor Keenan,Wynn
"Guess for when ""wheels up"" will occur, briefly",etd
Memorization,rote
Took in a note,at e
Definite form. ,shape
Think,ideate
All the items there make up the E. coast of Gaul,catalogues
To be won or lost,at stake
Very lowest. ,rock bottom
"Joad, for example. ",okie
"Teak, for one ",tree
It's distressing to animal's auditory senses,sheeps hearing
9-Down co-star Jason,segel
"Tim who was nominated for an Emmy for his role in ""The Sopranos""",Daly
Threw out a base runner  Colloq. ,erased
Set off in good time towards dawn,easterly
Study of bubbles abbreviation,Econ
A repetitive strain injury's raising voice's pitch,Goldoni
Offering only words,all talk
God Bless America vocalist Smith,Kate
Tolkien brutes,orcs
Band of brothers initially plunged in lake,combo
Drew to a close,ended
Indentation - step up,notch
Pavement section,slab
Plush carpet,shag
Metalloid element ,Boron
Blessed-event item,cigar
Writer retired by a lake in Asian republic,Nepal
Hands up for change!,swap
Action puzzle game featuring a Nintendo character as a physician,DrMario
Clip-___ (some bow ties),on s
Causes to explode,enrages
"Taconite, for example",iron ore
"'___, All Ye Faithful'",o come
'A frog he would a- ___ go . . .',wooing
White streak in the sky,contrail
"""Does ___ oats . . . "" ",eat
Testified about,swore to
Isle of Man's northern point,ayre
"Last parts, as of sagas",tail ends
Guwahati garment,sari
Money for nothing (wordplay),credit
Microfragrance technology,Scratch and sniff
Travolta helped popularize it,disco
One of the slayers of Ymir.,odin
"Picasso and Braque, for example",cubists
Astute.,sly
"La Salle of ""Coming to America""",Eriq
"Radius, ulna, etc.",bones
"Faulkner's ""embodiment of evil"" character ",popeye
"So, presumably, I'm there to speak in passing water (wordplay)",urea
"Why Amy Winehouse is saying ""No, no, no""",rehab
Terminated the introduction of evidence.,rested
Number of sides on an octagon,eight
"Actress Hathaway of ""The Devil Wears Prada""",Anne
Part of the stratosphere,ozone
___ Trianon.,pet it
"Fictional twins who live in a hotel and often terrorize the guests (no, not ""The Shining""...)",Zack and Cody
"Pronoun in the ""Lord's Prayer""",thy
No runs are scored from this - young girl,maiden
Shiver-inducing,gelid
Stout aunt's off to church,staunch
Criticise imported alien a lot initially; I eventually hit back,retaliate
It's behind a top German magazine,a stern
Water bearer,main
"God, in Gaziantep",Allah
Agreements one found among political groups,parities
"Artistic district, part of the Left Bank in of Paris",montparnasse
Setting for Yankees home games abbreviation,EDT
Glacier site maybe,fjord
They're no longer attached,exes
Albanian money,leks
Dinesen products,tales
"Watson's ""double helix."" ",dna
XXVII division IX ,iii
South Seas island,bali
Bearskin. ,cap
Decorator's suggestion,carpet
Photo descriptor,glossy
"Now you ___, now ... (conjurer's words)",see it
Small jumper,frog
Burned perfumes. ,censed
"""What was that?""",Hunh
Asiatic country. ,Iran
Triplets.,tercets
Sport on wheels that's hinted at by the starts of 20-Across and 11- and 29-Down,roller derby
The Thieving Magpie composer,rossini
Home currency of some infamous scam emails anagram of A RAIN,Naira
Deep thought,pensiveness
How some salesmen go,door to door
Ancient Scot.,pict
Snow slide. ,ski
Portuguese navigator,Vascodagama
"Acropolis city, to Greeks ",athenai
Steady in the outhouse,stable
Foreign squire is a racy sort,risque
Rorem or Martin,NED
Go  puff of smoke,up in a
"Monster-in-Law star, to fans",jlo
Animals of Lapland.,reindeer
Dirt farmer,peasant
Prejudice,slant
Get it done!,today
Rebuff to a Sunday driver,get a horse
Orators on July 7th and 14th. ,key noters
Van  Hot For Teacher band,Halen
Calligrapher's fluid,ink
"Seat of County Kerry, Ireland",Tralee
"""___ Rae"" (Fields film)",norm a
Coming-out celebs,debs
A fantastic plan.,pipedream
"Range of a part, vocally",tessitura
Military div.,USAF
Broadcasting syst. ,abc
"Artoo's ""surname""",de too
Is completely horizontal,lies flat
College city in Oklahoma,Enid
War god - spoils,mars
SI unit of energy,Joule
Self-centered sorts,swell heads
Mixed-up worker with you at get-together of course,naturally
Drive dangerously in a way,weave
U.K. ally,usa
More than a few bits (wordplay),bytes
That which ___ today... ,is alaw
Incredulous response to a horoscope,Ami
"Hit off Semisonic's ""Great Divide"" (abbreviation)",fnt
Gigantic South American constrictor,an aconda
"N.Y. hospital, ___-Kettering",sloan
Mallard cousins,widgeons
Verb for Tweety,tawt
Hottentots of SW Africa,Namas
Fruit acid derivative.,citrate
"Fender scratch, for one ",mishap
Pocket: German.,Tasche
Fine!,okok
Empire Falls novelist Richard,Russo
Smiled at a funny performer,grinned
Poachers' targets (wordplay),eggs
Mongoose chewing coati's tail with one munch,ichneumon
"""Ghostbusters"" car type",hearse
Abbreviation for Mrs. Luce. ,amb
Organ element,Pipe
"Lustrous, old style.",nitid
Coleridge creation,rime
Is in Paris or old Rome (wordplay),est
Portrayer of Batman and Birdman,Keaton
"Lower, as a light",Bedim
"Omaha, for example",racehorse
Made a perfect serve. ,a ced
Ritual in which bitter herbs are dipped,seder
"Nice, for example ",resort
Loser to Penn State 1982 Sugar Bowl ,Georgia Bulldogs
Man's name,Charles
Song stylist,Crooner
Dinner ___. ,pails
English literary shrine,Stratford onAvon
Wasn't brave in the least,ran
Outstanding credit,debt
Voters surprise,upset
Join together,yoke
City in Massachusetts,Boston
Carlsbad Cavern critter,bat
Experiences with one unenlightened sect,Hasidim
Marlene's are famous ,legs
"Wants, requires",needs
Charges on property,liens
Longhorns school informally,Texas
Family reuners,kin
Eat a formal meal,dine
Alternative to Good News!,a tra
Hide well,bury
Sound of pain ,ouch
Pulitzer winner for the play 'Fences',August Wilson
Unbeatable foes,nemeses
"Warp, for example",mar
Git thar fustest with the ___,mostest
Avant-garde,far out
Idea that spreads popularly and widely,meme
There are 435 in Cong.,reps
Where a masterpiece may be made,art studio
"""Making AIDS History"" org",Amfar
"Silences, as a Twitter troll",mutes
Kind of carryall,to tebag
Bored to ___ ,death
"Develop ruts, say",erode
Not revolutionary,gradual
Dessert course,after s
Dane who played McSteamy,Eric
Groom's companion,bride
Basket grass ,otate
Helping hands,aiders
Lobo,Wolf
Miss St. Claire of Kentucky. ,eva
He played the grandfather in 'The Princess Bride',falk
Sweep in water,oar
Like many a nasty remark,snide
Man of the house.,sire
Market type ,bear
Part of a robot's name,de too
Cautioned about training,education
Latin parent,mater
2003 Outkast hit,heyya
Sub-mistletoe encounter.,kiss
John Jacob and kin,astors
'Bald-faced' thing,lie
Beachumbrella offering,shade
Banquet entrees,roasts
___ are the times that...,these
M*A*S*H cast member,SWIT
Yugoslav river 450 miles to Danube.,drave
Soloist's virtuoso passage,Cadenza
Small toymaker,Elf
Outintheopen,over t
Candidate of 1992 and 1996,perot
Stove-top vessel,skillet
New York city on the Allegheny River,Olean
Rummage,sift through
Price of a stamp.,cent
One may be leading or supporting,role
City in Illinois ,arcola
Lithified mud,shale
"Diners, Drive-Ins and Dives host",fieri
Glittering metal strip,Tinsel
"Husks of wheat, rye, etc. ",Bran
Son of Sycorax (Tempest),caliban
Composer favored by Bruno Walter. ,Mahler
___ leaf (minimal cover-up),fig
Dropping suddenly down.,sheer
Cereal secrets (wordplay),trix of the trade
Minstrels' strings,lutes
Student in campaigns for partial sentences,clauses
Run out on,desert
Like the locks of Goldilocks,flaxen
Material in the translation process,RNA
Remained unused,scat
Anna Alamo victor,Santa
Egyptian goddess.,a pet
Gormless mountain dog,cairn
Thrash; (US) escape,Lam
Boat full of horseshit,ark
Rock's ___ Butterfly,iron
Nest in a high branch,Aerie
"Is short, they say - short of discipline",lacks
"Stop lying, perhaps",sit
Former senator D'Amato,alfonse
Cattle genus ,BOS
Some crop-dusting chemicals,fungicides
"Title character's trade in ""Jude the Obscure""",stone mason
Iacocca's successor at Chrysler,Eaton
Cathedrale figure,abbe
Friars event,roast
Places to leave full,eateries
Lerner and Loewe's 1958 hit musical,Gigi
New software version,iteration
Object when spare key is demanded,thing
Crimson kin,purple
Georgetown athlete ,Hoya
Go before,Antece de
"Be down, apparently",looks ad
"Vegetable with a ""dinosaur"" variety",kale
"""___ vobiscum!"" ",PAX
Forty-niner since 1959 ,a laskan
Share everything the writer found in Bible,allotment
Goes fast by river,rushes
Cross-one's-heart garment,bra
February or March,month
Sailing ship of old.,Caravel
Lineless actor,extra
Old hosiery,nylons
(Eternal) bliss,heaven
Mudvilles disappointment,Casey
Having the greatest breadth ,widest
More of a Labor Day quip,wonderfulathing
"""I ___ man with seven wives""",met a
Transactions at antique shops,resales
Murderer of Hamlet,laertes
Many a craft beer,ale
Army fliers since 1984,apaches
Washington ballplayer.,yost
Portion of an ellipse,arc
Symbol of York or New York.,rose
Sink from sight,disappear
The Grapes of Wrath patriarch,Pajoad
Felt constituent's very large following when leading,asbestos
Electronic maths aid,pocket
Sturdy. ,Stalwart
Tyler and Taylor. ,presidents
Scenic view,Panorama
B's.,bet as
Not playing the goat- really,nokidding
Not true that they'll come down with one in ones,fallacies
"TV ""angel.""",sponsor
Little girl's makeup (wordplay),sugar and spice
Big name in cheesecake,SARA
This may be rather held,belief
"1964 Record of the Year Grammy winner, with ""The""",girlfromipanema
Ceremony for a newborn,naming
Indianapolis indie band named after a New World monkey,Marmos et
I'm gonna go out on a ___ here...,limb
Kiss between chap and the girl modelling art wear gets the bird,Manx Shearwater
Burns or Lauder ,Scot
7'6 Ming of the N.B.A.,yao
Ditch maker,spade
Outdoor activity that includes jumping,horse backriding
School established in 1440,Eton
Berra. ,Lawrence Peter
One more please,hit me
Made a quick stop,ran in
"Rosario ___, town in Argentina ",tala
Fortnite developer,epic
Slim MacBook,air
Clerical robes ,albs
Zwei's follower ,drei
"Breakfast dish of cereal, nuts and fruit",Muesli
___ holes (half a golf round),nine
Towel marking,hers
Large quantities,rafts
Time of an action. ,when
With which to tie up horses,string
Takes hold upon. ,grips
Not out of harness,there in
Noted brand of guitars,ibanez
"Sibyl, for example",seer
Sounded throaty,rasped
Invent,feign
Like lignite,coaly
Spin a story. ,yarn
Broadcast signal receivers,tuners
Shape of guru half-visible in flames,figure
Rocky IV nemesis,drago
It lures fish,bait
US Pacific territory,Guam
Form of oxygen. ,ozone
'___ pro nobis' ('pray for us'),ora
"Infant, in Iberville",be be
Work short-term,temp
Aix-la-Chapelle's other name,Aachen
"Discover Devise, concoct",in vent
Insurance co represented by a duck,a flac
Place of combat ,Arena
Pope of,urban
"Famous, in Firenze",no to
British money abbreviation,stg
Virginia of tennis,Wade
Kickoff point,to e
Roget entries Abbreviation ,syns
Cigar-smokers' lairs,dens
Heart essential ,Aorta
Novel of 1847. ,omoo
"Count start, in Mexico",uno
Event with gowns,ball
Mystical atmosphere around someone,aura
One is being so put out by a trip around the South,ousting
Rib: Anat. comb. form.,costi
Annual climber ,sweet pea
Eeler's choice (wordplay),trolling
Colts or Giants. ,eleven
Seashell site,shore
Farm animal provided that in here somehow,heifer
I put a spell,on you
Sounds like wedding announcements for the outlaws (wordplay),bans
Actor Baldwin et al.,alecs
Leno routine,skit
It was once big for Diana Ross,afro
Descries ,spots
Cultivate land,till
It has yet to be smelt (wordplay),or e
Structures resembling 1 Down,sacs
Home girl has flutter on unknown ego,Detzi
San Francisco attraction ,fishermans wharf
"Supplies of guns and ammo, for example",materiels
Online hot stuff,literotica
"Netizen, e,g,",user
What a plumb gauges,depth
One of the sizes.,small
"Island nicknamed ""The Gathering Place""",oahu
A  and a miss,Swing
The Trouble with ___:,Harry
Shoe insert ,tree
The cloistered life.,veil
Makes neat ,tidies
Alternative to Beth,Ellie
Created a new waterway through,canaled
'___ Dick',Moby
Impose a penalty,punish
"""Beloved"" author's first name",Toni
Closed-minded sort,bigot
Complete for short,thoro
City near Los Angeles.,Pomona
Italian shoe and handbag brand,to ds
Continue,goon
